"arXiv ID","论文标题","研究问题","核心思想","方法/技术路线","数据集/仿真场景","评价指标","结果摘要","创新类型","局限性","ISAC子类别","置信度","发表日期","主分类"
"2606.23771","Integrated Sensing and Communications for Real-time Avatar Control in XR over 5G","Extended Reality (XR) presents a challenging use case for 5G and 6G networks, requiring high data-rates and lowlatency communication to deliver a truly immersive experience.","Extended Reality (XR) presents a challenging use case for 5G and 6G networks, requiring high data-rates and lowlatency communication to deliver a truly immersive experience. Moreover, in order to seamlessly translate physical actions to the...","In this work, we propose a multimodal sensing architecture for XR that combines 5G MillimeterWave (mmWave) Integrated sensing and communication (ISAC) and surface electromyography (sEMG) signals. 5G mmWave ISAC cannot only be used to deliver...","Extended Reality (XR) presents a challenging use case for 5G and 6G networks, requiring high data-rates and lowlatency communication to deliver a...","For fine-grained finger-level interactions, we show that surface electromyography (sEMG) carries strong discriminative information achieving consistent promising performance across different...","For fine-grained finger-level interactions, we show that surface electromyography (sEMG) carries strong discriminative information achieving consistent promising performance across different...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Standardization_and_Architecture","MEDIUM","2026-06-22","eess.SP"
"2606.23125","AI-Empowered UAV-Assisted Backscatter Localization and ISAC for Zero-Energy IoT: A Comprehensive Survey","Zero-energy Internet of Things (IoT) enables passive or near-passive devices to operate on harvested energy rather than batteries. Backscatter communication (BackCom) supports this vision by...","Zero-energy Internet of Things (IoT) enables passive or near-passive devices to operate on harvested energy rather than batteries. Backscatter communication (BackCom) supports this vision by enabling tags to transmit data via reflection and...","Unmanned aerial vehicles (UAVs) can mitigate these limitations by acting as mobile carrier emitters, data collectors, relays, aerial receivers, mobile anchors, sensing platforms, and edge-intelligence nodes. Integrated sensing and communication...","Zero-energy Internet of Things (IoT) enables passive or near-passive devices to operate on harvested energy rather than batteries. Backscatter...","It also discusses UAV-assisted BackCom, passive localization, ISAC-enabled UAV-backscatter systems, and AI-driven optimization through comparative tables, quantitative trend analysis, coverage...","It also discusses UAV-assisted BackCom, passive localization, ISAC-enabled UAV-backscatter systems, and AI-driven optimization through comparative tables, quantitative trend analysis, coverage...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Localization_and_Tracking","MEDIUM","2026-06-22","eess.SP"
"2606.23119","Enormous Fluid Antenna Systems (E-FAS) for Wireless Sensing: Channel Modeling and Conditional Estimation Limits","In this paper, we develop a fundamental analytical framework for integrated sensing and communications (ISAC) enabled by the Enormous Fluid Antenna System (E-FAS), which transforms a collection of...","In this paper, we develop a fundamental analytical framework for integrated sensing and communications (ISAC) enabled by the Enormous Fluid Antenna System (E-FAS), which transforms a collection of coordinated intelligent surfaces into a gigantic...","The analysis demonstrates that E-FAS gives rise to a fundamentally different sensing regime compared with conventional array-based and reconfigurable-surface-aided ISAC architectures. Our analysis uncovers that maximizing coherent routing gain...","and sensing diversity in programmable propagation","Our analysis uncovers that maximizing coherent routing gain does not necessarily maximize sensing performance, exposing a fundamental trade-off between SW routing gain and sensing diversity in...","Our analysis uncovers that maximizing coherent routing gain does not necessarily maximize sensing performance, exposing a fundamental trade-off between SW routing gain and sensing diversity in...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Standardization_and_Architecture","MEDIUM","2026-06-22","cs.IT"
"2606.22897","Adaptive Joint Beamforming and Fluid Antenna System Design for 6G ISAC","Fixed-Position Antennas (FPAs) are constrained by static physical topologies and struggle to adapt to rapidly varying wireless environments.","Fixed-Position Antennas (FPAs) are constrained by static physical topologies and struggle to adapt to rapidly varying wireless environments. By dynamically reconfiguring the antenna positions, Fluid Antenna Systems (FASs) introduce additional...","This paper investigates the joint optimization of Fluid Antenna System (FAS) topology reconfiguration and active beamforming for mobile Integrated Sensing and Communication (ISAC) systems. To enable real-time decision making, an end-to-end...","Fixed-Position Antennas (FPAs) are constrained by static physical topologies and struggle to adapt to rapidly varying wireless environments. By...","To enable real-time decision making, an end-to-end optimization framework based on the Soft Actor-Critic (SAC) algorithm is proposed. Simulation results show that the proposed scheme achieves an...","To enable real-time decision making, an end-to-end optimization framework based on the Soft Actor-Critic (SAC) algorithm is proposed. Simulation results show that the proposed scheme achieves an...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","MEDIUM","2026-06-22","eess.SY"
"2606.22195","Resolving Multi-Target Association in OFDM-based ISAC via Vision-aided Multi-Modal Learning","Orthogonal frequency division multiplexing (OFDM)-based integrated sensing and communication (ISAC) systems commonly extract target parameters by peak-searching a delay-Doppler map (DDM)...","Orthogonal frequency division multiplexing (OFDM)-based integrated sensing and communication (ISAC) systems commonly extract target parameters by peak-searching a delay-Doppler map (DDM) constructed from reflected pilots. In multi-target...","In multi-target scenarios, this results in ambiguity: the DDM does not reveal which physical target produced which peak, and two targets within the same delay-Doppler resolution cell cannot be separated. We propose a vision-assisted OFDM-ISAC...","Orthogonal frequency division multiplexing (OFDM)-based integrated sensing and communication (ISAC) systems commonly extract target parameters by...","To stabilize training of the high dimensional delay and Doppler classifiers, we introduce a Kullback Leibler loss against triangular soft labels centered on the ground-truth bin. On a...","To stabilize training of the high dimensional delay and Doppler classifiers, we introduce a Kullback Leibler loss against triangular soft labels centered on the ground-truth bin. On a...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Waveform_Design","MEDIUM","2026-06-20","cs.CV"
"2606.21677","Adaptive 5G Resource Allocation for Multistatic ISAC-Based UAV Detection and Tracking","Unmanned aerial vehicles (UAVs) enable numerous commercial and public-safety applications, yet they also create security risks near critical infrastructure, transportation hubs, and restricted...","While integrated sensing and communications (ISAC) can leverage existing wireless networks for UAV surveillance, practical deployment must address competition between sensing and communication demands, as well as the challenges associated with...","A shared-resource framework is developed to quantify how sensing waveform length, sensing transmission rate, and beam allocation affect communication throughput in a 5G new radio (NR) system. Detection performance is analyzed using Zadoff-Chu...","heavy congestion, SDS assistance substantially reduces tracking outage in the simulated","This paper investigates adaptive multistatic ISAC for load-aware UAV detection and tracking in 5G wireless networks. A shared-resource framework is developed to quantify how sensing waveform...","Results show that adaptive sensing policies outperform fixed sensing reservations by preserving throughput under dynamic load while maintaining useful sensing capability. Under heavy congestion,...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Localization_and_Tracking","MEDIUM","2026-06-19","eess.SP"
"2606.20413","Hybrid TRP-UE Sensing for Enhanced Target Localization","Integrated Sensing and Communication (ISAC) refers to the capability for the network to provide communications services whilst also being able to sense the environment in a scalable manner.","One of the key functions of ISAC is the accurate localization of passive and mobile sensing targets. This paper introduces a novel hybrid TRP-UE sensing mechanism that improves network-based sensing performance. Evaluation results are provided...","One of the key functions of ISAC is the accurate localization of passive and mobile sensing targets. This paper introduces a novel hybrid TRP-UE sensing mechanism that improves network-based sensing performance.","complimenting TRP-based sensing with UE-assisted sensing in challenging propagation","Evaluation results are provided using 3GPP-compliant ISAC channel models. The results demonstrate the significant benefit in complimenting TRP-based sensing with UE-assisted sensing in challenging...","Evaluation results are provided using 3GPP-compliant ISAC channel models. The results demonstrate the significant benefit in complimenting TRP-based sensing with UE-assisted sensing in challenging...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Localization_and_Tracking","MEDIUM","2026-06-18","eess.SP"
"2606.20011","Amplitude-Phase-Frequency Block Modulation for OFDM-ISAC with SI-Free PAPR Reduction and Pilotless Sensing","Orthogonal Frequency Division Multiplexing (OFDM)-based integrated sensing and communication systems demand a unified waveform that simultaneously supports reliable data transmission, low...","Existing approaches multiplex communication and sensing across separate time or frequency resources, or rely on dedicated pilots for channel estimation, limiting system flexibility and increasing overhead. This paper proposes an...","Information symbols are represented on the Stokes sphere and mapped to energy-normalized Jones vectors through an unambiguous rule that establishes a deterministic phase reference per block. This mapping exposes a commonphase degree of freedom...","Orthogonal Frequency Division Multiplexing (OFDM)-based integrated sensing and communication systems demand a unified waveform that simultaneously...","Numerical simulations and over-the-air measurements on a software-defined radio link confirm effective PAPR reduction, accurate channel sensing, reliable phase recovery, and stable channel state...","Numerical simulations and over-the-air measurements on a software-defined radio link confirm effective PAPR reduction, accurate channel sensing, reliable phase recovery, and stable channel state...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Waveform_Design","MEDIUM","2026-06-18","eess.SP"
"2606.19724","Cyclic-Prefix OFDM Probing for Spatial-ISI-Free Distributed Acoustic Sensing via Frequency-Domain Channel Reconstruction","Matched-filter-based pulse-compression distributed acoustic sensing (DAS) suffers from nonzero compression sidelobes that cause deterministic inter-range-bin leakage, i.e., spatial inter-symbol...","Matched-filter-based pulse-compression distributed acoustic sensing (DAS) suffers from nonzero compression sidelobes that cause deterministic inter-range-bin leakage, i.e., spatial inter-symbol interference (ISI), and false responses in...","To our knowledge, this is the first formulation of distributed Rayleigh backscattering as a finite-memory sensing multipath channel. Based on this formulation, we prove that, if the useful OFDM and CP lengths cover the sensing multipath memory,...","Matched-filter-based pulse-compression distributed acoustic sensing (DAS) suffers from nonzero compression sidelobes that cause deterministic...","The same data-bearing probe also recovers an image with zero measured bit-error rate and a median error vector magnitude of -23.14 dB. These results validate CP-OFDM-aided frequency-domain channel...","The same data-bearing probe also recovers an image with zero measured bit-error rate and a median error vector magnitude of -23.14 dB. These results validate CP-OFDM-aided frequency-domain channel...","全新方法","未来工作可能包括将此方法扩展到更实际的场景。","Waveform_Design","HIGH","2026-06-18","eess.SP"
"2606.19146","Ray Antenna Array Enhanced Low-Altitude ISAC: Performance Analysis and Beamforming Design","Integrated sensing and communication (ISAC) as one of the key technologies of 6G provides potential solutions for safe LAE. However, conventional antenna arrays face limitations in cost,...","Moreover, RAA can provide uniform angular resolution and eliminates coverage holes, making it particularly suitable for low-altitude ISAC. In this paper, we formulate an optimization problem for joint ray selection and beamforming to enhance...","However, conventional antenna arrays face limitations in cost, scalability, and coverage, especially directly above the base station, due to hardware complexity and degraded angular resolution. By exploiting the recently proposed ray antenna...","(RAA), this paper considers a RAA-enhanced low-altitude ISAC system","An efficient alternating optimization algorithm is proposed to solve this problem. Analytical and simulation results demonstrate that RAA achieves higher sensing signal-to-noise ratio compared to...","An efficient alternating optimization algorithm is proposed to solve this problem. Analytical and simulation results demonstrate that RAA achieves higher sensing signal-to-noise ratio compared to...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","HIGH","2026-06-17","cs.IT"
"2606.18766","Rotatable Antenna-Enhanced Secure Integrated Sensing and Communications Under Imperfect CSI","A rotatable antenna (RA)-enhanced secure integrated sensing and communications system is investigated, where an RA-based transceiver simultaneously communicates with legitimate users and senses a...","A rotatable antenna (RA)-enhanced secure integrated sensing and communications system is investigated, where an RA-based transceiver simultaneously communicates with legitimate users and senses a target that is regarded as a potential...","To address the highly non-convex problem, the information leakage and sensing power constraints are transformed into convex ones via S-Procedure method and Cauchy-Schwarz inequality, respectively. Subsequently, an alternating optimization...","A rotatable antenna (RA)-enhanced secure integrated sensing and communications system is investigated, where an RA-based transceiver...","In particular, the transmit beamforming and AN covariance matrix are optimized by utilizing successive convex approximation and semi-definite relaxation methods, while the RA boresights are...","Subsequently, an alternating optimization algorithm is developed to decompose the reformulated problem into two subproblems. In particular, the transmit beamforming and AN covariance matrix are...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","MEDIUM","2026-06-17","eess.SP"
"2606.18488","Cell-Free Integrated Sensing and Communication","Cell-free (CF) integrated sensing and communication (ISAC) merges the CF architecture with ISAC functionalities. CF-ISAC leverages distributed access points, removes cell boundaries, and enhances...","Cell-free (CF) integrated sensing and communication (ISAC) merges the CF architecture with ISAC functionalities. CF-ISAC leverages distributed access points, removes cell boundaries, and enhances coverage, spectral efficiency, and reliability.","A comprehensive survey on CF-ISAC has been lacking. This monograph addresses that gap by covering the foundational principles, cooperative transmission, radar cross-section, target parameter estimation, ISAC integration levels, sensing metrics,...","Cell-free (CF) integrated sensing and communication (ISAC) merges the CF architecture with ISAC functionalities. CF-ISAC leverages distributed...","Cell-free (CF) integrated sensing and communication (ISAC) merges the CF architecture with ISAC functionalities. CF-ISAC leverages distributed access points, removes cell boundaries, and enhances...","Finally, synchronization, multi-target detection, interference management, and fronthaul limitations are discussed. Advanced antenna technologies, network-assisted systems, near-field CF-ISAC,...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Resource_Allocation","MEDIUM","2026-06-16","eess.SP"
"2606.18456","Holographic Integrated Sensing and Communication With Limited Radiation Amplitudes: How Many Quantization Bits Are Enough?","As a promising solution for extremely large-scale arrays, reconfigurable holographic surfaces (RHS) can be integrated with integrated sensing and communication (ISAC) to form the holographic ISAC...","As a promising solution for extremely large-scale arrays, reconfigurable holographic surfaces (RHS) can be integrated with integrated sensing and communication (ISAC) to form the holographic ISAC paradigm, where significant beamforming gains...","In this paper, we investigate how the limited radiation amplitudes of the RHS influence ISAC system performance. Specifically, we first derive closed-form lower bounds for both communication rate and sensing SINR to establish a tight upper bound...","how the limited radiation amplitudes of the RHS influence ISAC","In this paper, we investigate how the limited radiation amplitudes of the RHS influence ISAC system performance. Specifically, we first derive closed-form lower bounds for both communication rate...","Based on this, we further explore how the communication-sensing performance tradeoff impacts the quantization bits. Numerical results validate our theoretical analysis.","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","MEDIUM","2026-06-16","cs.IT"
"2606.17970","Auto-correlation Function Keying","We propose ACFK: Auto-correlation Function Keying, a new integrated sensing and communication (ISAC) waveform that carries random communication data while directly controlling the peak sidelobe...","We propose ACFK: Auto-correlation Function Keying, a new integrated sensing and communication (ISAC) waveform that carries random communication data while directly controlling the peak sidelobe level (PSL) of the periodic auto-correlation...","Motivated by this principle, ACFK maps finite-constellation symbols onto auto-correlation function (ACF)-domain sidelobes and uses independent phase symbols to exploit the remaining degrees of freedom. The resulting waveform enables exact control...","We propose ACFK: Auto-correlation Function Keying, a new integrated sensing and communication (ISAC) waveform that carries random communication...","A reference ISAC transceiver and its high-SNR approximate bit error rate (BER) analysis are also provided. Numerical results show that ACFK achieves stronger PSLR control, and improved weak-target...","A reference ISAC transceiver and its high-SNR approximate bit error rate (BER) analysis are also provided. Numerical results show that ACFK achieves stronger PSLR control, and improved weak-target...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Waveform_Design","MEDIUM","2026-06-16","cs.IT"
"2606.17718","BASIIS: Bistatic Angular Sampling and Interpolation for ISAC Setups","Integrated Sensing and Communications (ISAC) is a defining feature of 6G, extending cellular networks with radar-like sensing at limited additional overhead.","Integrated Sensing and Communications (ISAC) is a defining feature of 6G, extending cellular networks with radar-like sensing at limited additional overhead. In bistatic deployments, sensing requires coordinating the transmitter (TX) and receiver...","This work establishes a complete angular sampling framework for bistatic ISAC, extending the DFT-based optimal-sampling methodology to the full azimuth and elevation domains of both arrays. We show that the bistatic geometry couples the TX and RX...","Integrated Sensing and Communications (ISAC) is a defining feature of 6G, extending cellular networks with radar-like sensing at limited...","Monte Carlo simulations confirm the proposed minimal acquisition essentially equalizes the detection accuracy of dense oversampled imaging while acquiring 3 to 5 times fewer TX-RX direction pairs....","Monte Carlo simulations confirm the proposed minimal acquisition essentially equalizes the detection accuracy of dense oversampled imaging while acquiring 3 to 5 times fewer TX-RX direction pairs....","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Standardization_and_Architecture","MEDIUM","2026-06-16","eess.SP"
"2606.17641","Toward Quantum-Enhanced ISAC: Active-RIS-Aided Integrated Sensing and Communication with Rydberg Atomic Receivers","In this paper, we investigate an active-RIS (ARIS)-aided integrated sensing and communication (ISAC) system with Rydberg Atomic REceiver (RARE).","Based on this formulation, we propose a joint design of the base station (BS) beamforming and ARIS reflection coefficients to minimize the CRB under RARE-specific signal-to-interference-noise-ratio (SINR) and ARIS power constraints. To tackle the...","Leveraging the magnitude-only and real-domain observation structure of RARE, we first derive a unified ISAC model, along with a closed-form Cramer-Rao bound (CRB) for direction-of-arrival (DoA) estimation. Based on this formulation, we propose a...","an active-RIS (ARIS)-aided integrated sensing and communication (ISAC)","In this paper, we investigate an active-RIS (ARIS)-aided integrated sensing and communication (ISAC) system with Rydberg Atomic REceiver (RARE). Leveraging the magnitude-only and real-domain...","To tackle the resulting highly non-convex problem, we develop an alternating optimization (AO) framework that combines semidefinite relaxation (SDR) for beamforming and a majorization-minimization...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","RIS_Metasurface_ISAC","MEDIUM","2026-06-16","eess.SP"
"2606.17306","Robust Beamforming Design for Secure Uplink NOMA-ISAC","Integrated sensing and communication is an important technology for sixth-generation (6G) mobile networks, enabling the joint use of communication and radar sensing within a unified system.","To enhance the physical-layer security, a robust sensing signal is designed to both sense and jam Eve. We formulate a joint optimization problem that aims to maximize the users' sum rate and the BS sensing performance while maintaining security...","In this paper, we study an uplink Non-Orthogonal Multiple Access (NOMA) system where the base station (BS) simultaneously receives user data and senses a potential eavesdropper (Eve) with uncertain location. To enhance the physical-layer...","an uplink Non-Orthogonal Multiple Access (NOMA)","In the second subproblem, the transmit beamforming matrices and sensing power are jointly optimized via semidefinite relaxation (SDR) and successive convex approximation (SCA). Simulation results...","In the second subproblem, the transmit beamforming matrices and sensing power are jointly optimized via semidefinite relaxation (SDR) and successive convex approximation (SCA). Simulation results...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Security_and_Privacy","MEDIUM","2026-06-15","eess.SP"
"2606.14400","Noncoherent ISAC over Block-Fading Channels: Asymptotic Performance Analysis","This paper investigates the fundamental limits and optimal signal distribution design for Integrated Sensing and Communication (ISAC) systems operating under strictly noncoherent conditions.","This paper investigates the fundamental limits and optimal signal distribution design for Integrated Sensing and Communication (ISAC) systems operating under strictly noncoherent conditions. Unlike conventional coherent frameworks that rely on...","Unlike conventional coherent frameworks that rely on perfect channel state information, we consider a block-fading MIMO channel where the channel realizations are unknown to both the transmitter and the receiver. We adopt a realization-wise...","strictly noncoherent","Unlike conventional coherent frameworks that rely on perfect channel state information, we consider a block-fading MIMO channel where the channel realizations are unknown to both the transmitter...","Our theoretical derivation reveals a fundamental synergy: the sensing-optimal strategy collapses to a rank-one transmission along the dominant eigenvector of the target response, which incurs no...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Standardization_and_Architecture","MEDIUM","2026-06-12","cs.IT"
"2606.07104","Robust Secure Beamforming for Movable Antenna Enhanced Integrated Sensing and Communications","To improve radar sensing performance, we formulate a radar signal-to-interference?plus-noise ratio (SINR) maximization problem by jointly opti?mizing the transmit beamforming and antenna placement...","In this letter, we investigate robust beamforming design for a movable antenna (MA)-enhanced secure integrated sensing and communications (ISAC) system with imperfect eaves?dropping channel state information (CSI). To improve radar sensing...","To improve radar sensing performance, we formulate a radar signal-to-interference?plus-noise ratio (SINR) maximization problem by jointly opti?mizing the transmit beamforming and antenna placement while ensuring communication data security....","robust beamforming design for a movable antenna (MA)-enhanced secure integrated sensing and communications (ISAC)","To handle these challenges, we propose a block coordinate descent (BCD)-based algorithm incorporating successive convex approximation (SCA) and fractional programming (FP) techniques. Simulation...","To handle these challenges, we propose a block coordinate descent (BCD)-based algorithm incorporating successive convex approximation (SCA) and fractional programming (FP) techniques. Simulation...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","MEDIUM","2026-06-05","eess.SP"
"2606.03690","On Secure EKF-enhanced UAV-ISAC Systems","Integrated sensing and communication (ISAC) has emerged as a promising key technology for future wireless networks, enabling the efficient coordination of sensing and communication functions...","Integrated sensing and communication (ISAC) has emerged as a promising key technology for future wireless networks, enabling the efficient coordination of sensing and communication functions within limited resources. This work investigates a...","This work investigates a secure ISAC system assisted by an uncrewed aerial vehicle (UAV). By incorporating the extended Kalman filter (EKF), the proposed system is capable of delivering communication services to legitimate users while...","Integrated sensing and communication (ISAC) has emerged as a promising key technology for future wireless networks, enabling the efficient...","To tackle the resulting highly non-convex optimization problem, an efficient iterative algorithm is developed by integrating block coordinate descent, successive convex approximation, and EKF,...","To tackle the resulting highly non-convex optimization problem, an efficient iterative algorithm is developed by integrating block coordinate descent, successive convex approximation, and EKF,...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","MEDIUM","2026-06-02","cs.IT"
"2606.00977","Electromagnetic Digital Twin-Enabled Closed-Loop Beam Management in ISAC Systems","Digital twin (DT) is envisioned as a key enabler of sixth-generation (6G) communication systems, evolving from offline descriptive replicas for monitoring and analysis to inthe-loop agents within...","Digital twin (DT) is envisioned as a key enabler of sixth-generation (6G) communication systems, evolving from offline descriptive replicas for monitoring and analysis to inthe-loop agents within digital twin networks (DTNs) that couple physical...","Moreover, array-geometry mismatch can bias DT reconstruction and degrade control performance, while prior works assume known arrays. To address these gaps, we propose an EM-ISACbased closed-loop DTN framework with a hierarchical design...","integrated sensing and communication (ISAC)-driven electromagnetic (EM) scattering methods enable","Subsequently, downlink beamforming (BF) is performed based on DT-predicted channels, enabling latency-bounded closed-loop control. Simulation results demonstrate improved robustness and control...","Subsequently, downlink beamforming (BF) is performed based on DT-predicted channels, enabling latency-bounded closed-loop control. Simulation results demonstrate improved robustness and control...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","MEDIUM","2026-05-31","eess.SP"
"2605.29913","Gesture-Aware Indoor THz ISAC Systems for Adaptive Resource Allocation","This paper investigates a multi-user indoor integrated sensing and communication (ISAC) system operating in the terahertz (THz) band, designed for adaptive communication based on gesture recognition.","This paper investigates a multi-user indoor integrated sensing and communication (ISAC) system operating in the terahertz (THz) band, designed for adaptive communication based on gesture recognition. Leveraging gesture tracking through an...","Leveraging gesture tracking through an extended Kalman filter (EKF), the access point (AP) dynamically adjusts resource allocation in response to detected gesture variations, thereby improving sensing accuracy. Based on the gesture recognition...","This paper investigates a multi-user indoor integrated sensing and communication (ISAC) system operating in the terahertz (THz) band, designed for...","To this end, an adaptive joint optimization algorithm for power allocation and beamforming is developed to maximize the overall sensing signal-to-interference-plus-noise ratio (SINR) while...","To this end, an adaptive joint optimization algorithm for power allocation and beamforming is developed to maximize the overall sensing signal-to-interference-plus-noise ratio (SINR) while...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Resource_Allocation","MEDIUM","2026-05-28","cs.IT"
"2605.23427","Movable-Antenna-Enhanced ISAC: Optimal Antenna Trajectory and Beamforming Design","Integrated sensing and communication (ISAC) is a key enabling technology for next-generation wireless networks. However, most existing ISAC systems rely on fixed-position antennas, which restrict...","To this end, this paper investigates a dynamic MA-enabled ISAC system and studies the joint design of MA trajectories and transmit beamforming. We formulate a joint trajectory and beamforming optimization problem to minimize sensing beampattern...","Movable antenna (MA) technology introduces additional spatial degrees of freedom through antenna mobility, yet existing studies on MA-enabled ISAC schemes mainly consider static antenna repositioning and fail to fully exploit this capability. By...","Integrated sensing and communication (ISAC) is a key enabling technology for next-generation wireless networks. However, most existing ISAC...","A branch-and-bound-based algorithm is developed to obtain the globally optimal solution. Numerical results show that the proposed framework significantly outperforms baseline schemes with only one...","A branch-and-bound-based algorithm is developed to obtain the globally optimal solution. Numerical results show that the proposed framework significantly outperforms baseline schemes with only one...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","HIGH","2026-05-22","eess.SP"
"2605.17905","Curriculum-Guided Heterogeneous Multi-Agent Intelligence for Multi-UAV Cooperative ISAC","In the low-altitude economy, unmanned aerial vehicles (UAVs) enable air-ground integrated sensing and communication (ISAC) for applications such as logistics and inspection, yet most studies focus...","In the low-altitude economy, unmanned aerial vehicles (UAVs) enable air-ground integrated sensing and communication (ISAC) for applications such as logistics and inspection, yet most studies focus on single-UAV or homogeneous-agent designs. In...","In contrast, this paper proposes a multi-UAV cooperative ISAC system that enables heterogeneous-agent collaboration between multiple UAVs and a ground base station (BS) for joint target sensing, tracking, and communication. The system is...","Seamlessly unifying communication and sensing, sixth-generation (6G) networks are poised to transform into intelligent platforms with high...","Seamlessly unifying communication and sensing, sixth-generation (6G) networks are poised to transform into intelligent platforms with high spectral-energy efficiency and real-time environmental...","To tackle the NP-hard nature of this problem, we design a curriculum-based heterogeneous-agent proximal policy optimization (C-HAPPO) algorithm, where curriculum learning guides progressive policy...","融合整合","未来工作可能包括将此方法扩展到更实际的场景。","Localization_and_Tracking","HIGH","2026-05-18","eess.SP"
"2605.17629","DL-Driven Optimization for ISAC System Equipped With Pinching and Movable Antennas","Integrated sensing and communication (ISAC) is considered to be a promising technology for future wireless systems due to its ability to provide communication and sensing services using shared...","For these other variables (i.e., the positions of the transmit PAs, the positions of the users' MAs, the communication precoding matrices, and the sensing transmit beamformer), we propose a deep learning (DL) network that finds their optimal...","Therefore, our goal is to study the optimization of the sum-rate for an ISAC system equipped with PAs and MAs, capable of satisfying minimal sensing requirements. To achieve it, we derive a closed-form solution for the optimal sensing receive...","Integrated sensing and communication (ISAC) is considered to be a promising technology for future wireless systems due to its ability to provide...","To train the network in an unsupervised manner, we formulate a loss function consisting of the objective function, as well as the penalty terms related to the constraints for the PAs and MAs...","To train the network in an unsupervised manner, we formulate a loss function consisting of the objective function, as well as the penalty terms related to the constraints for the PAs and MAs...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","MEDIUM","2026-05-17","cs.IT"
"2605.15808","Joint Mobile User Positioning and Passive Target Sensing using Optimized Sequential Beamforming","Integrated sensing and communication (ISAC) relies on monostatic sensing (MS) and bistatic positioning (BP) to enable comprehensive environmental awareness and user localization. However, existing...","Integrated sensing and communication (ISAC) relies on monostatic sensing (MS) and bistatic positioning (BP) to enable comprehensive environmental awareness and user localization. However, existing frameworks predominantly assume static geometries...","In this paper, we propose a velocity-aware sequential beamforming framework that dynamically couples MS and BP in time. We derive the Cramer-Rao bounds (CRBs) in the position domain to formulate a non-convex resource allocation problem. Instead...","Integrated sensing and communication (ISAC) relies on monostatic sensing (MS) and bistatic positioning (BP) to enable comprehensive environmental...","We demonstrate that optimizing a single shared beamformer globally across both phases yields superior synergistic gains compared to a two-stage greedy approach. Simulation results validate that...","We demonstrate that optimizing a single shared beamformer globally across both phases yields superior synergistic gains compared to a two-stage greedy approach. Simulation results validate that...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Localization_and_Tracking","MEDIUM","2026-05-15","eess.SP"
"2605.04623","Multi-AP Cooperative Beamforming for Cell-Free ISAC Networks: Balancing Communication SINR and Sensing SCNR","Cell-free integrated sensing and communication (ISAC) systems are facing the resource allocation challenges due to the deployment of access points (APs) and conflicting beamforming requirements...","Cell-free integrated sensing and communication (ISAC) systems are facing the resource allocation challenges due to the deployment of access points (APs) and conflicting beamforming requirements between the communication and sensing functions....","Unlike traditional ISAC architectures, the geographic distribution of APs introduces coordination complexity and resource-sharing conflicts that existing single-objective methods cannot adequately address. To address this challenge, we formulate...","Cell-free integrated sensing and communication (ISAC) systems are facing the resource allocation challenges due to the deployment of access points...","The non-convex quadratically constrained quadratic program is transformed into a tractable convex semidefinite program via semidefinite relaxation, enabling efficient polynomial-time solutions and...","The non-convex quadratically constrained quadratic program is transformed into a tractable convex semidefinite program via semidefinite relaxation, enabling efficient polynomial-time solutions and...","理论贡献","未来工作可能包括将此方法扩展到更实际的场景。","Beamforming_and_Precoding","HIGH","2026-05-06","eess.SP"
